#time,id,mass,px,py,pz,vx,vy,vz
9.3045021334940358e+01,2,9.5435340000000004e-04,-1.5432973960297045e+02,4.8118052750978187e+01,-4.7999059283603756e+01,3.7744954335087305e-01,2.5257004332743588e-01,-1.7321556725258472e-01
9.3045021334940358e+01,3,2.8630601999999998e-04,-1.6297885194754804e+02,6.6732849493439019e+01,-3.7002160530546057e+01,-6.4336334720682762e-04,1.8968954488932106e-02,-1.8936440659771822e-01

9.7874447305653646e+01,0,1.0000000000000000e+00,-1.5318796902518579e+02,5.0254901324761853e+01,-4.3510209887675465e+01,7.7199426477451191e-02,-1.9405952012312565e-02,1.6588416626121150e-02
9.7874447305653646e+01,1,1.0000000000000000e+00,1.5338014833254090e+02,-5.0321269307232846e+01,4.3567261241142980e+01,-7.7562325903078377e-02,1.9106466774543751e-02,-1.6542040207670111e-02
9.7874447305653646e+01,2,9.5435340000000004e-04,-1.5248082367313702e+02,4.9502206651464554e+01,-4.8402381908900004e+01,3.7870270638377068e-01,3.1110115587716247e-01,9.3133111559448867e-03
9.7874447305653646e+01,3,2.8630601999999998e-04,-1.6296798386516153e+02,6.6800492863116915e+01,-3.7925768115671396e+01,5.1805065110203437e-03,9.0280739232595584e-03,-1.9302635906110943e-01

1.0264330014235586e+02,0,1.0000000000000000e+00,-1.5281962509956819e+02,5.0162314073344398e+01,-4.3431492767140710e+01,7.7287745242171760e-02,-1.9414329013523374e-02,1.6427051876852394e-02
1.0264330014235586e+02,1,1.0000000000000000e+00,1.5301017135910450e+02,-5.0230122646219399e+01,4.3488348077732581e+01,-7.7601633684621252e-02,1.9119366781215896e-02,-1.6553208882243403e-02
1.0264330014235586e+02,2,9.5435340000000004e-04,-1.5078131647381036e+02,5.1005855405218270e+01,-4.7918578237420064e+01,3.2556053945293667e-01,3.0933063675610795e-01,1.9100416522153293e-01
1.0264330014235586e+02,3,2.8630601999999998e-04,-1.6292915357850455e+02,6.6819975874508373e+01,-3.8853715083709567e+01,1.1137155680169222e-02,-8.6799643658324807e-04,-1.9604362179380355e-01

1.0735077287679292e+02,0,1.0000000000000000e+00,-1.5245550506423996e+02,5.0071011747073037e+01,-4.3354486191734630e+01,7.7416754307122471e-02,-1.9367477568797493e-02,1.6296816564401517e-02
1.0735077287679292e+02,1,1.0000000000000000e+00,1.5264477211001406e+02,-5.0140088647706555e+01,4.3410398237422399e+01,-7.7640611349210881e-02,1.9132166121214073e-02,-1.6564290402568127e-02
1.0735077287679292e+02,2,9.5435340000000004e-04,-1.4946090798571549e+02,5.2343002039177598e+01,-4.6651581159901411e+01,2.2940365277477723e-01,2.4977245092731828e-01,3.3979618950109292e-01
1.0735077287679292e+02,3,2.8630601999999998e-04,-1.6286252056737848e+02,6.6792792799877688e+01,-3.9782434866100466e+01,1.7201475856148861e-02,-1.0686957213402589e-02,-1.9843037387273849e-01

1.1237094253166391e+02,0,1.0000000000000000e+00,-1.5206645243385924e+02,4.9974014699912857e+01,-4.3272902547181701e+01,7.7581903510088410e-02,-1.9268543627805307e-02,1.6217666768863881e-02
1.1237094253166391e+02,1,1.0000000000000000e+00,1.5225489833010772e+02,-5.0044007516567930e+01,4.3327212896452124e+01,-7.7682372034957300e-02,1.9145887820536472e-02,-1.6576170486947928e-02
1.1237094253166391e+02,2,9.5435340000000004e-04,-1.4863137475729488e+02,5.3326723605402449e+01,-4.4672920903825997e+01,9.8118318499691839e-02,1.3487720460884256e-01,4.3574708902719128e-01
1.1237094253166391e+02,3,2.8630601999999998e-04,-1.6275954799042938e+02,6.6712801468103152e+01,-4.0783617885136955e+01,2.3852009840630364e-02,-2.1182619675152364e-02,-2.0032061452663130e-01

